0.000000000000000000e-02, 0.000000000000000000e-02, 0.000000000000000000e-02
2.999900000000000000e+00, 0.000000000000000000e-02, 0.000000000000000000e-02
3.000000000000000000e+00, 2.527750691755792922e-01, 8.140283854894109217e-01
3.539159827293724803e+00, 3.679423717775931468e-01, 8.041771483638766593e-01
4.048452625194753018e+00, 4.248951850897653704e-01, 7.982113770373607808e-01
4.526747636329808699e+00, 4.544524722446162679e-01, 7.945189424815273238e-01
4.972982926164041473e+00, 4.686725165143070249e-01, 7.913091028458439924e-01
5.386167740761252709e+00, 4.745934625657822203e-01, 7.861123958551859969e-01
5.765384706505409795e+00, 4.752832794385206117e-01, 7.760330855568124964e-01
6.109791866899474400e+00, 4.748414161291412139e-01, 7.664055590516940519e-01
6.418624551919384302e+00, 4.748414161291414359e-01, 7.664055590516940519e-01
6.691197075772739034e+00, 4.748414161291413249e-01, 7.664055590516941630e-01
6.926904259292717470e+00, 4.748414161291413804e-01, 7.664055590516941630e-01
7.125222773587182701e+00, 4.748414161291412694e-01, 7.664055590516940519e-01
7.285712301959685888e+00, 4.748414161291413249e-01, 7.664055590516940519e-01
7.408016517522656663e+00, 4.748414161291412694e-01, 7.664055590516939409e-01
7.491863874332182149e+00, 4.748414161291412694e-01, 7.664055590516941630e-01
7.537068210287934278e+00, 4.748414161291412694e-01, 7.664055590516940519e-01
7.543529160459564231e+00, 4.748414161291411029e-01, 7.664055590516942740e-01
7.575825940997162888e+00, 4.748414161291413804e-01, 7.664055590516940519e-01
7.646808745314545241e+00, 4.748414161291412139e-01, 7.664055590516939409e-01
7.756319973835029025e+00, 4.748414161291413249e-01, 7.664055590516939409e-01
7.904116484245161445e+00, 4.748414161291412694e-01, 7.664055590516940519e-01
8.089870131331458936e+00, 4.748414161291413804e-01, 7.664055590516942740e-01
8.313168495544857706e+00, 4.748414161291412694e-01, 7.664055590516939409e-01
8.573515798675220623e+00, 4.748414161291412139e-01, 7.664055590516943850e-01
8.870334004602977274e+00, 4.748414161291413249e-01, 7.664055590516940519e-01
9.202964102683834469e+00, 4.748414161291412694e-01, 7.664055590516939409e-01
9.570667570917233746e+00, 4.748414161291413249e-01, 7.664055590516941630e-01
9.812675420388172753e+00, 4.715653113013421049e-01, 8.067632947740723814e-01
1.040795298417371839e+01, 3.951947690304192240e-01, 5.306091101592824710e-01
1.087567594619434175e+01, 3.463685600469548209e-01, 4.466865448824549056e-01
1.137475843976972278e+01, 3.027475320809276393e-01, 3.801106706360692922e-01
1.190409237695554090e+01, 2.641303368679567276e-01, 3.254312907353937856e-01
1.246250250403749682e+01, 2.301933897750024771e-01, 2.798429968252725830e-01
1.304874901088846784e+01, 2.005397729684390284e-01, 2.414778385628341961e-01
1.366153028365702760e+01, 1.747468368987657450e-01, 2.090469392737693555e-01
1.429948579467570369e+01, 1.523866773312287926e-01, 1.815926995732083105e-01
1.496119912317263001e+01, 1.330492030863599240e-01, 1.582789238889643069e-01
1.564520110007988407e+01, 1.163492816985488565e-01, 1.384356562582031713e-01
1.634997306995621358e+01, 1.019426816732030561e-01, 1.214135827564370301e-01
1.707395026278189931e+01, 8.951695601307779748e-02, 1.069175060338740241e-01
1.781552526813949200e+01, 7.879733845489872435e-02, 9.454669711591917602e-02
1.857305160406695066e+01, 6.954367649316398059e-02, 8.392954309933542412e-02
1.934484737265931642e+01, 6.154794756278871015e-02, 7.479548070995087339e-02
2.012919899430265858e+01, 5.463010703630814813e-02, 6.691762496259270887e-02
2.092436501224938539e+01, 4.863521916689582392e-02, 6.010459763961964463e-02
2.172857995908764650e+01, 4.343232804302724070e-02, 5.418408689005903972e-02
2.254005827652057903e+01, 3.890828876744141518e-02, 4.906125901748401019e-02
2.335699827975216181e+01, 3.496685484601432664e-02, 4.459988792728461493e-02
2.417758615767809616e+01, 3.152596150645237127e-02, 4.063092405931260920e-02
2.500000000000000000e+01, 2.851679040572517934e-02, 3.722282641218611215e-02
2.501000000000000000e+01, 0.000000000000000000e-02, 0.000000000000000000e-02
5.000000000000000000e+01, 0.000000000000000000e-02, 0.000000000000000000e-02
